Facility Name,Facility Id,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Sectors_Industry_Type,Total reported direct emissions,CO2 emissions (non-biogenic),Methane (CH4) emissions,Nitrous Oxide (N2O) emissions,HFC emissions,PFC emissions,SF6 emissions,NF3 emissions,Other Fully Fluorinated GHG emissions,HFE emissions,Very Short-lived Compounds emissions,Other GHGs (metric tons CO2e),Biogenic CO2 emissions (metric tons),Stationary Combustion,Electricity Generation,Adipic Acid Production,Aluminum Production,Ammonia Manufacturing,Cement Production,Electronics Manufacture,Ferroalloy Production,Fluorinated GHG Production,Glass Production,HCFC–22 Production from HFC–23 Destruction,Hydrogen Production,Iron and Steel Production,Lead Production,Lime Production,Magnesium Production,Miscellaneous Use of Carbonates,Nitric Acid Production,Petroleum and Natural Gas Systems – Offshore Production,Petroleum and Natural Gas Systems – Processing,Petroleum and Natural Gas Systems – Transmission/Compression,Petroleum and Natural Gas Systems – Underground Storage,Petroleum and Natural Gas Systems – LNG Storage,Petroleum and Natural Gas Systems – LNG Import/Export,Petrochemical Production,Petroleum Refining,Phosphoric Acid Production,Pulp and Paper Manufacturing,Silicon Carbide Production,Soda Ash Manufacturing,Titanium Dioxide Production,Underground Coal Mines,Zinc Production,Municipal Landfills,Industrial Wastewater Treatment,Manufacture of Electric Transmission and Distribution Equipment,Industrial Waste Landfills,Is some CO2 collected on-site and used to manufacture other products and therefore not emitted from the affected manufacturing process unit(s)? (as reported under Subpart G or S),"Is some CO2 reported as emissions from the affected manufacturing process unit(s) under Subpart AA, G or P collected and transferred off-site or injected (as reported under Subpart PP)?",Does the facility employ continuous emissions monitoring?
121 Regional Disposal Facility,1004377,Melissa,TX,75454,3820 SAM RAYBURN HIGHWAY,Collin,33.9814,-96.53143,562212,HH,Waste,199011.75,,199011.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199011.75,,,,N,N,N
15-18565/15-18662,1010040,Hazard,KY,40701,4200 S. HWY 15,Perry,37.219099,-83.156046,212112,FF,Other,118204.5,,118204.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118204.5,,,,,,N,N,N
15-19015,1010085,Hazard,KY,41701,1845 S. KY HWY 15,Perry,37.236617,-83.18126,212112,FF,Other,55872.5,,55872.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55872.5,,,,,,N,N,N
23rd And 3rd,1000112,Brooklyn,NY,11232,730 3RD AVENUE,Kings,40.663,-74.0,221112,"C,D",Power Plants,67399.252,67331.3,31.0,36.952,,,,,,,,,,132.0,67267.252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
29-6 #2 Central Delivery Point,1006394,Blanco,NM,87412,,Rio Arriba,36.7452,-107.4455,213112,C,Petroleum and Natural Gas Systems,15391.592,15375.7,7.25,8.642,,,,,,,,,,15391.592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
30-5 Central Delivery Point Compressor Station,1002885,Aztec,NM,87410,,Rio Arriba,36.8118,-107.4036,213112,C,Petroleum and Natural Gas Systems,22506.516,22483.5,10.5,12.516,,,,,,,,,,22506.516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
31-6 Central Delivery Point,1002707,Bloomfield,NM,87413,,Rio Arriba,36.8363,-107.4199,213112,C,Petroleum and Natural Gas Systems,52646.752,52592.5,24.75,29.502,,,,,,,,,,52646.752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
31st Street Landfill,1003742,Westchester,IL,60154,11700 W 31ST ST,Dupage,41.83491,-87.91633,562212,"C,HH",Wastes,92696.6,186.6,92510.0,,,,,,,,,,,186.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92510.0,,,,N,N,N
32-7 Central Delivery Point,1002718,Blanco,NM,87412,,San Juan,36.9313,-107.5604,213112,C,Petroleum and Natural Gas Systems,33654.124,33619.6,15.75,18.774,,,,,,,,,,33654.124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
32-8 #2 Cdp Compressor Station,1002721,Blanco,NM,87412,,San Juan,36.9569,-107.6631,213112,C,Petroleum and Natural Gas Systems,40868.396,40826.2,19.25,22.946,,,,,,,,,,40868.396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
3m Brownwood,1003188,Brownwood,TX,76801,4501 HIGHWAY 377 SOUTH,Brown,31.671177,-98.996513,326113,"C,N",Minerals,36754.712,36716.9,17.25,20.562,,,,,,,,,,36597.712,,,,,,,,,157.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
3m Co,1005043,Maplewood,MN,55144,,Ramsey,44.951,-92.9959,541712,C,Other,79440.076,79353.3,38.5,48.276,,,,,,,,,,79440.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
3m Co - Guin,1003739,Guin,AL,35563,6675 US HIGHWAY 43,Marion,33.96672,-87.899855,326113,"C,N",Minerals,31694.636,31663.4,14.25,16.986,,,,,,,,,,30512.636,,,,,,,,,1182.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
3m Co - Wausau Downtown,1007698,Wausau,WI,54401,144 ROSECRANS ST,Marathon,44.95097,-89.63647,212313,C,Other,22926.664,22903.1,10.75,12.814,,,,,,,,,,22926.664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
3m Company,1004206,Decatur,AL,35609,1400 STATE DOCKS RD.,Morgan,34.641667,-87.038611,325211,"C,L,OO","Chemicals,Industrial Gas Suppliers",47000.2876,44678.0,21.0,25.032,74.0,,,,600.0,,2.2556,1600.0,,44724.032,,,,,,,,2276.2556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
3m Cordova,1006665,Cordova,IL,61242,22614 ROUTE 84 NORTH,Rock Island,41.755,-90.284167,325998,"C,L,OO","Chemicals,Industrial Gas Suppliers",889525.15,28764.3,13.5,16.39,57232.5,624982.8,20520.0,9632.0,135527.0,3533.95,2.71,9300.0,,28794.19,,,,,,,,860730.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
3m Cottage Grove Center - Site,1004836,Cottage Grove,MN,55016,10746 INNOVATION RD,Washington,44.789444,-92.908333,325998,"C,L,N,OO","Chemicals,Industrial Gas Suppliers,Minerals",45073.584,30848.9,18.25,41.124,2294.0,3899.2,2736.0,,4386.0,170.1,0.01,680.0,1721.5,29937.274,,,,,,,,14165.31,971.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
3m Industrial Mineral Products Division,1003408,Little Rock,AR,72216,3110 WALTERS DRIVE,Pulaski,34.708919,-92.239492,212399,C,Other,24870.356,24844.6,11.75,14.006,,,,,,,,,,24870.356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
3m Magnetic Tape Manufacturing Division,1004914,Hutchinson,MN,55350,905-915 ADAMS STREET SOUTHEAST,Mcleod,44.879294,-94.361896,322222,C,Pulp and Paper,36316.764,36279.5,17.0,20.264,,,,,,,,,,36316.764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
3m Nevada Plant,1004804,Nevada,MO,64772,2120 E. AUSTIN,Vernon,37.83442,-94.330397,326113,C,Other,31007.384,30975.6,14.5,17.284,,,,,,,,,,31007.384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
4 West Mine,1007408,Dilliner,PA,15327,625 BALD HILL CHURCH ROAD,Greene,39.75537,-80.003499,212112,FF,Other,133881.75,,133881.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133881.75,,,,,,N,N,N
48th Street Peaking Station,1001106,Holland,MI,49423,491 E 48TH ST,Allegan,42.7553,-86.0853,221112,"C,D",Power Plants,12264.256,12252.2,5.5,6.556,,,,,,,,,,8.5,12255.756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y
50 Buttes Gas Plant,1012037,Gillette,WY,82716,3669 SOUTH HWY 50,,,,213112,"C,W-PROC",Petroleum and Natural Gas Systems,31419.588,29653.0,1288.0,478.588,,,,,,,,,,28215.644,,,,,,,,,,,,,,,,,,,3203.944,,,,,,,,,,,,,,,,,,N,N,N
58th St Lf (main County Lf),1004680,Miami,FL,33178,8831 NW 58TH ST,Miami-dade,25.82621,-80.340819,562212,HH,Waste,84936.75,,84936.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84936.75,,,,N,N,N
59th Street,1000766,New York,NY,10019,850 12TH AVE,New York,40.7711,-73.9911,221330,C,Power Plants,238778.194,238463.3,127.75,187.144,,,,,,,,,,238778.194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
69th St Wwtp,1007733,Houston,TX,77020,2525 SSGT MACARIO GARCIA DR,Harris,29.75578,-95.29797,221320,C,Other,26395.6,26368.2,12.5,14.9,,,,,,,,,,26395.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
74th Street,1000767,New York,NY,10021,506 E 75TH ST,New York,40.768,-73.9515,221330,C,Power Plants,255020.78,254660.5,141.25,219.03,,,,,,,,,,255020.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
A B Brown Generating Station,1001033,Mount Vernon,IN,47620,8511 WELBORN ROAD,Posey,37.9053,-87.715,221112,D,Power Plants,2663665.556,2642472.4,7754.25,13438.906,,,,,,,,,,,2663665.556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y
"A.C.M.S., Inc.",1012058,Lake Panasoffkee,FL,33538,835 CR 529,Sumter,28.743151,-82.091653,562212,HH,Wastes,15626.5,,15626.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15626.5,,,,N,N,N
Aap St Marys Corp,1005445,Saint Marys,OH,45885,1100 MCKINLEY RD.,Auglaize,40.55358,-84.37325,336399,C,Other,34111.272,34076.2,16.0,19.072,,,,,,,,,,34111.272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
Abb Inc.,1006009,Mt. Pleasant,PA,15666,100 DISTRIBUTION CIRCLE,Westmoreland,40.17822,-79.57819,335313,SS,Other,10898.4,,,,,,10898.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10898.4,,N,N,N
Abbott Nutrition,1002853,Sturgis,MI,49091,901 NORTH CENTERVILLE ROAD,St. Joseph,41.8095,-85.426,311514,C,Other,23398.012,23373.9,11.0,13.112,,,,,,,,,,23398.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
Abbott Park Facility,1002983,Abbott Park,IL,60064,100 ABBOTT PARK RD,Lake,42.30227,-87.89065,424210,C,Other,56777.334,56718.4,26.75,32.184,,,,,,,,,,56777.334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
Abbvie Ltd.,1007514,Barceloneta,PR,00617,RD 2 KM 58.0,Barceloneta,18.433237,-66.570509,325412,C,Chemicals,95561.37,95237.9,95.5,227.97,,,,,,,,,,95561.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
Abc Coke,1004511,Tarrant,AL,35217,ONE RAILROAD AVENUE,Jefferson,33.580769,-86.781281,331111,"C,Q",Metals,171606.494,171457.3,44.0,105.194,,,,,,,,,,159209.474,,,,,,,,,,,,12397.02,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
"Abe South Dakota, Llc - Aberdeen",1002047,Aberdeen,SD,57401,38469 133RD STREET,Brown,45.459444,-98.5325,325193,"C,II","Other,Waste",90888.08,85003.9,5836.5,47.68,,,,,,,,,2.7,85091.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5796.5,,,N,N,N
"Abe South Dakota, Llc - Huron",1002074,Huron,SD,57350,694 W PARK AVE NW,Beadle,44.374508,-98.253288,325193,"C,II","Other,Waste",42762.94,42559.6,179.5,23.84,,,,,,,,,17.0,42603.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.5,,,N,N,N
"Abengoa Bioenergy Company, Llc",1006694,York,NE,68467,1414 COUNTY ROAD O,Fillmore,40.69874,-97.567402,325193,"C,PP","Other,Suppliers of CO2",91946.704,91851.9,43.25,51.554,,,,,,,,,,91946.704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
Abengoa Bioenergy Corporation Colwich Ethanol Plant,1005278,Colwich,KS,67030,523 E UNION AVE,Sedgwick,37.78665,-97.53096,325193,C,Other,7714.42,7706.2,3.75,4.47,,,,,,,,,4.9,7714.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
"Abengoa Bioenergy Of Illinois, Llc",1005170,Madison,IL,62060,395 BISSELL ST,Madison,38.68509,-90.18065,325193,C,Other,144416.056,144267.0,68.0,81.056,,,,,,,,,,144416.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
Abengoa Bioenergy Of Indiana,1003377,Mount Vernon,IN,47620,8999 W FRANKLIN RD,Posey,37.905263,-87.722552,325193,C,Other,151730.928,151574.2,71.5,85.228,,,,,,,,,,151730.928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
"Abengoa Bioenergy Of Nebraska, Llc",1003096,Ravenna,NE,68869,35955 NAVAHO RD,Buffalo,41.023749,-98.87511,325193,"C,II","Other,Waste",97674.034,97180.5,439.0,54.534,,,,,,,,,,97280.784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393.25,,,N,N,N
Aberdeen Energy Llc,1005353,Mina,SD,57451,13435 370TH AVENUE,Edmunds,45.442417,-98.787139,325193,C,Other,180568.92,180382.6,85.0,101.32,,,,,,,,,,180568.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
Aberdeen Proving Ground-aberdeen Area & Edgewood Area,1006971,Apg,MD,21005,4304 SUSQUEHANNA AVE,Harford,39.3954,-76.30773,928110,C,Other,69918.52,69814.2,40.25,64.07,,,,,,,,,,69918.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
Abraham Compressor Station,1003091,Canadian,TX,79014,9835 US HWY 60,Hemphill,35.757778,-100.486433,211111,C,Petroleum and Natural Gas Systems,21767.968,21745.5,10.25,12.218,,,,,,,,,,21767.968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
Absolute Energy Llc,1002627,St Ansgar (mona),IA,50472,1372 STATELINE ROAD,Mitchell,43.49951,-92.91709,325193,"C,II","Other,Waste",178561.368,178273.0,186.75,101.618,,,,,,,,,405.0,178459.118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.25,,,N,N,N
Acadia Parish Police Jury - Acadia Parish Sanitary Landfill,1006529,Egan,LA,70531,611 PETAL RD,Acadia Parish,30.256038,-92.532637,562111,HH,Waste,51686.5,,51686.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51686.5,,,,N,N,N
Ace Ethanol Llc,1004761,Stanley,WI,54768,815 WEST MAPLE STREET,Chippewa,44.9589,-90.9608,325193,"C,PP","Other,Suppliers of CO2",73115.024,73039.4,34.5,41.124,,,,,,,,,,73115.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
Ac 857 A,1002685,Offshore,TX,00000,,,26.29555555,-94.89777777,211111,"C,W-OFFSH",Petroleum and Natural Gas Systems,275627.372,245766.9,29640.25,220.222,,,,,,,,,,230839.252,,,,,,,,,,,,,,,,,,44788.12,,,,,,,,,,,,,,,,,,,N,N,N
Acme Brick Co Elgin Plant,1005601,Elgin,TX,78621,1776 OLD MCDADE RD,Bastrop,30.32903,-97.29207,327121,C,Minerals,58615.68,58555.4,27.5,32.78,,,,,,,,,,58615.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
Acme Gypsum Facility,1005046,Quanah,TX,79252,4164 HIGHWAY 285,Hardeman,34.323944,-99.818194,327420,C,Minerals,35616.516,35579.8,16.75,19.966,,,,,,,,,,35616.516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
Ada Cogeneration,1002731,Ada,MI,49355,7575 FULTON STREET EAST,Kent,42.955455,-85.479053,221112,C,Power Plants,94984.492,94886.4,44.75,53.342,,,,,,,,,,94984.492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
"Ada Carbon Solutions (red River), Llc",1003752,Coushatta,LA,71019,201 RED RIVER MINE ROAD,Red River,32.005405,-93.387829,325998,C,Chemicals,188762.668,188753.9,4.0,4.768,,,,,,,,,,188762.668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y
Adkins Energy Llc,1003422,Lena,IL,61048,4350 WEST GALENA ROAD,Stephenson,42.358605,-89.80342,325193,C,Other,76422.312,76343.4,36.0,42.912,,,,,,,,,,76422.312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
Adm - Mankato,1002154,Mankato,MN,56001,2019 3RD AVENUE,Blue Earth,44.186805,-93.995493,311225,C,Other,143286.47,142382.3,333.5,570.67,,,,,,,,,,143286.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
Adm Corn Processing,1006047,Cedar Rapids,IA,52404,1350 WACONIA AVENUE SOUTHWEST,Linn,41.928594,-91.687203,311221,"C,II","Other,Waste",3048420.424,3026186.2,9394.0,12840.224,,,,,,,,,53630.3,3046512.174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1908.25,,,N,N,Y
Adm Corn Processing,1006208,Clinton,IA,52732,1251 BEAVER CHANNEL PARKWAY,Clinton,41.818117,-90.214731,311221,"C,TT","Other,Waste",2151829.934,2135193.0,6435.5,10201.434,,,,,,,,,86320.0,2151366.684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463.25,N,N,Y
Adm Deerfield,1010610,Deerfield,MO,64741,17700 SOUTH HIGHWAY T,Vernon,37.80725,-94.585301,311222,C,Other,34167.172,34132.1,16.0,19.072,,,,,,,,,,34167.172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
Adm Fostoria,1011855,Fostoria,OH,44830,608 FINDLAY ROAD,Hancock,41.1494,-83.43295,311222,C,Other,26753.8,26726.4,12.5,14.9,,,,,,,,,,26753.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
Adm Milling Company,1000034,Des Moines,IA,50313,1935 EAST EUCLID AVENUE,Polk,41.626329,-93.583205,311222,C,Other,144115.254,143046.4,391.5,677.354,,,,,,,,,,144115.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
Adm Quincy,1000376,Quincy,IL,62306,2100 GARDNER EXPRESSWAY,Adams,39.90565,-91.41015,311222,C,Other,195047.938,193977.9,397.75,672.288,,,,,,,,,,195047.938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
Adm Southern Cellulose Prod.In,1006080,Chattanooga,TN,37410,103 W 45TH ST,Hamilton,34.997921,-85.318581,322110,C,Pulp and Paper,24860.4,24833.5,12.0,14.9,,,,,,,,,,24860.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
Adm Valdosta,1011961,Valdosta,GA,31601,1841 CLAY ROAD,Lowndes,-30.8325,-83.248056,311222,C,Other,29482.152,27036.2,360.25,2085.702,,,,,,,,,181042.0,29482.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
Adrian Landfill,1001991,Adrian,MI,49221,1970 N OGDEN HWY,Lenawee,41.890683,-83.992445,562212,HH,Wastes,14142.25,,14142.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14142.25,,,,N,N,N
Ads-cedar Hill Landfill,1001633,Ragland,AL,35131,1319 NO BUSINESS CREEK ROAD,Saint Clair,33.6845,-86.2525,562212,HH,Waste,97230.5,,97230.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97230.5,,,,N,N,N
Ads-pecan Row-evergreen Landfills,1001636,Valdosta,GA,31601,2995 WETHERINGTON LANE,Lowndes,30.81501,-83.36245,562212,HH,Waste,137389.0,,137389.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137389.0,,,,N,N,N
Ads-star Ridge Landfill,1006790,Moody,AL,35004,3301 ACMAR ROAD,Saint Clair,33.605845,-86.5201,562212,HH,Waste,90617.5,,90617.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90617.5,,,,N,N,N
Ads/mclean County Landfill,1002094,Bloomington,IL,61704,2105 W OAKLAND AVE,Mclean,40.47046,-89.0377,562212,"C,HH",Waste,24335.75,14.0,24321.75,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24321.75,,,,N,N,N
Advanced Disposal Cranberry Creek Landfill Llc,1001845,Wisconsin Rapids,WI,54495,2510 ENGEL ROAD,Wood,44.4093,-89.854855,562212,"C,HH",Wastes,35228.75,88.0,35140.75,,,,,,,,,,11.8,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35140.75,,,,N,N,N
Advanced Disposal Emerald Park Landfill Llc,1007212,Muskego,WI,53132,W124 S10629 SOUTH 124TH STREET,Waukesha,-42.849682,-88.07639,562212,"C,HH",Waste,41352.1,18.6,41333.5,,,,,,,,,,,18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41333.5,,,,N,N,N
Advanced Disposal Glacier Ridge Landfill Llc,1007195,Horicon,WI,53032,N7296 HWY V,Dodge,43.45953,-88.55413,562212,"C,HH",Waste,81900.2,55.2,81845.0,,,,,,,,,,,55.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81845.0,,,,N,N,N
"Advanced Disposal Hickory Meadows Landfill, Llc",1001847,Hilbert,WI,54129,W3105 SCHNEIDER RD,Calumet,44.107451,-88.194894,562212,"C,HH",Waste,54708.45,15.7,54692.75,,,,,,,,,,,15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54692.75,,,,N,N,N
"Advanced Disposal Mallard Ridge Landfill, Inc",1002038,Delevan,WI,53115,W8470 STATE RD 11,Walworth,42.643578,-88.717968,562212,"C,HH",Waste,67067.0,47.5,67019.5,,,,,,,,,,,47.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67019.5,,,,N,N,N
"Advanced Disposal Maple Hill Landfill, Llc",1003038,Macon,MO,63552,31226 INTREPID ROAD,Macon,39.73501,-92.53368,562212,"C,HH",Waste,27558.75,68.5,27490.25,,,,,,,,,,,68.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27490.25,,,,N,N,N
Advanced Disposal Oak Ridge Landfill,1006979,Balwin,MO,63021,1741 SULPHUR SPRING ROAD,St. Louis,38.560139,-90.532222,562212,HH,Waste,8606.0,,8606.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8606.0,,,,N,N,N
Advanced Disposal Orchard Hills Landfill Inc,1001637,Davis Junction,IL,61020,8290 HIGHWAY 251,Ogle,42.14,-89.085,562212,"C,HH",Waste,168657.45,52.2,168605.25,,,,,,,,,,,52.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168605.25,,,,N,N,N
Advanced Disposal Rolling Hills Landfill Inc,1001843,Buffalo,MN,55313,175 COUNTY ROAD 37 NE,Wright,45.24595,-93.87246,562212,"C,HH",Waste,5997.0,29.5,5967.5,,,,,,,,,,,29.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5967.5,,,,N,N,N
Advanced Disposal Seven Mile Creek Landfill Llc,1006964,Eau Claire,WI,54703,8001 OLSON DR,Eau Claire,44.837534,-91.367144,562212,"C,HH",Waste,35316.95,22.2,35294.75,,,,,,,,,,,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35294.75,,,,N,N,N
Advanced Disposal Valley View Landfill Inc,1006963,Decatur,IL,62522,1363 BEAR RD,Macon,39.822232,-89.043692,562212,"C,HH",Waste,28840.9,28.9,28812.0,,,,,,,,,,,28.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28812.0,,,,N,N,N
Advanced Disposal Zion Landfill,1005985,Zion,IL,60099,701 GREEN BAY ROAD,Lake,42.483242,-87.873878,562212,"C,HH",Waste,36712.3,89.3,36623.0,,,,,,,,,,,89.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36623.0,,,,N,N,N
Aes - Puerto Rico Cogeneration Plant,1005310,Guayama,PR,00785,"KM 142, RTE. #3 BO. JOBOS",Guayama,17.9451,-66.1503,221112,C,Power Plants,3433759.136,3408619.3,9194.75,15945.086,,,,,,,,,,3433759.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y
Aes Alamitos,1001444,Long Beach,CA,90803,690 N STUDEBAKER ROAD,Los Angeles,33.7688,-118.1009,221112,D,Power Plants,684931.612,684236.2,317.25,378.162,,,,,,,,,,,684931.612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
Aes Beaver Valley Llc,1001222,Monaca,PA,15061,394 FRANKFORT RD,Beaver,40.6558,-80.3556,221112,D,Power Plants,27740.132,27524.6,78.75,136.782,,,,,,,,,,,27740.132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y
Aes Hawaii Inc,1005972,Kapolei,HI,96707,91-086 KAOMI LP,Honolulu,21.301222,-158.107306,221112,C,Power Plants,1230819.89,1219456.5,4157.75,7205.64,,,,,,,,,,1230819.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y
Aes Huntington Beach,1001447,Huntington Beach,CA,92646,21730 NEWLAND ST,Orange,33.6436,-117.9788,221112,D,Power Plants,432232.948,431794.0,200.25,238.698,,,,,,,,,,,432232.948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
Aes Redondo Beach,1001450,Redondo Beach,CA,90277,1100 N HARBOR DRIVE,Los Angeles,33.8504,-118.395,221112,D,Power Plants,318386.968,318063.1,147.75,176.118,,,,,,,,,,,318386.968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
"Aes Shady Point, Llc",1007781,Panama,OK,74951,3 MILES E. OF JUNCTION 31,Le Flore,35.1929,-94.6469,221112,"C,PP","Power Plants,Suppliers of CO2",2278093.974,2257260.5,7620.75,13212.724,,,,,,,,,,2278093.974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y
Aes Warrior Run,1001223,Cumberland,MD,21502,11600 MEXICO FARMS RD SE,Allegany,39.5944,-78.7456,221112,"C,D,PP","Power Plants,Suppliers of CO2",1324825.018,1314209.9,3883.0,6732.118,,,,,,,,,,173.1,1324651.918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y
Afton Chemical Corp,1003853,Sauget,IL,62201,501 MONSANTO AVE.,St. Clair,38.60263,-90.1675,324191,C,Petroleum and Natural Gas Systems,49461.264,49410.3,23.25,27.714,,,,,,,,,,49461.264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
