Facility Name,Facility Id,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Sectors_Industry_Type,Total reported direct emissions,CO2 emissions (non-biogenic),Methane (CH4) emissions,Nitrous Oxide (N2O) emissions,HFC emissions,PFC emissions,SF6 emissions,NF3 emissions,Other Fully Fluorinated GHG emissions,HFE emissions,Very Short-lived Compounds emissions,Other GHGs (metric tons CO2e),Biogenic CO2 emissions (metric tons),Stationary Combustion,Electricity Generation,Adipic Acid Production,Aluminum Production,Ammonia Manufacturing,Cement Production,Electronics Manufacture,Ferroalloy Production,Fluorinated GHG Production,Glass Production,HCFC–22 Production from HFC–23 Destruction,Hydrogen Production,Iron and Steel Production,Lead Production,Lime Production,Magnesium Production,Miscellaneous Use of Carbonates,Nitric Acid Production,Petroleum and Natural Gas Systems – Offshore Production,Petroleum and Natural Gas Systems – Processing,Petroleum and Natural Gas Systems – Transmission/Compression,Petroleum and Natural Gas Systems – Underground Storage,Petroleum and Natural Gas Systems – LNG Storage,Petroleum and Natural Gas Systems – LNG Import/Export,Petrochemical Production,Petroleum Refining,Phosphoric Acid Production,Pulp and Paper Manufacturing,Silicon Carbide Production,Soda Ash Manufacturing,Titanium Dioxide Production,Underground Coal Mines,Zinc Production,Municipal Landfills,Industrial Wastewater Treatment,Manufacture of Electric Transmission and Distribution Equipment,Industrial Waste Landfills,Is some CO2 collected on-site and used to manufacture other products and therefore not emitted from the affected manufacturing process unit(s)? (as reported under Subpart G or S),"Is some CO2 reported as emissions from the affected manufacturing process unit(s) under Subpart AA, G or P collected and transferred off-site or injected (as reported under Subpart PP)?",Does the facility employ continuous emissions monitoring?
Wyandotte Dept Muni Power,1008434,Wyandotte,MI,48192,2555  VAN ALSTYNE,Wayne,42.2081,-83.1453,221112,"C,D",Power Plants,84149.02,83762.6,151.0,235.42,,,,,,,,,,36.3,84112.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y
Wyeth Pharmaceuticals,1003040,Rouses Point,NY,12979,64 MAPLE STREET,Clinton,44.989024,-73.371118,325412,C,Chemicals,17768.482,17750.1,8.25,10.132,,,,,,,,,,17768.482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
Wyeth Pharmaceuticals,1003151,Pearl River,NY,10965,401 NORTH MIDDLETOWN ROAD,Rockland,41.0768,-74.0181,325414,C,Chemicals,127232.598,127087.1,63.25,82.248,,,,,,,,,,127232.598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
Wyman Gordon Forgings,1004972,Houston,TX,77095,10825 TELGE RD.,Harris,29.93301,-95.64954,331210,C,Metals,107854.65,107744.3,50.75,59.6,,,,,,,,,,107854.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
Wynnewood Refining Co,1002310,Wynnewood,OK,73098,906 S. POWELL,Garvin,34.63001,-97.16942,324110,"C,MM-REF,P,Y","Chemicals,Petroleum Product Suppliers,Refineries",841261.928,825437.5,13534.0,2290.428,,,,,,,,,,508642.516,,,,,,,,,,,19322.8,,,,,,,,,,,,,,313296.612,,,,,,,,,,,,N,N,N
Wyoming Lime Producers,1006370,Frannie,WY,82423,30 HIGHWAY 310,Park,44.9962,-108.625,327410,"C,S",Minerals,189417.946,188935.4,176.5,306.046,,,,,,,,,,80146.146,,,,,,,,,,,,,,109271.8,,,,,,,,,,,,,,,,,,,,,,,N,N,N
Wyoming Refining Company,1004459,Newcastle,WY,82701,740 W. MAIN ST.,Weston,43.85126,-104.21486,324110,"C,MM-REF,Y","Petroleum Product Suppliers,Refineries",147121.024,146366.7,370.5,383.824,,,,,,,,,,102386.444,,,,,,,,,,,,,,,,,,,,,,,,,44734.58,,,,,,,,,,,,N,N,N
Wyoming Sugar Co,1007561,Worland,WY,82401,300 SOUTH 1ST STREET,Washakie,44.00999,-107.96949,311313,"C,S",Minerals,28905.48,28862.4,17.75,25.33,,,,,,,,,,24783.08,,,,,,,,,,,,,,4122.4,,,,,,,,,,,,,,,,,,,,,,,Y,N,N
Wabash River Gen Station,1007378,Terre Haute,IN,47900,450 BOLTON RD,Vigo,39.53,-87.4247,221112,"C,D",Power Plants,2833340.254,2819216.9,5213.75,8909.604,,,,,,,,,,5647.876,2827692.378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y
Wading River Facility,1001080,Wading River,NY,11786,NORTH COUNTRY ROAD,Suffolk,40.9569,-72.8774,221112,D,Power Plants,19749.128,19680.9,20.25,47.978,,,,,,,,,,,19749.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
Wafertech Llc,1009361,Camas,WA,98607,5509 NW PARKER ST.,Clark,45.61962,-122.461735,334413,"C,I",Other,172724.739484,13050.2,6.25,7177.032,10646.3523,78813.225184,39193.2,7282.48,16556.0,,,,,13063.9,,,,,,159660.839484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
Wagner Compressor Station,1009896,Godley,TX,76044,13128 COUNTY ROAD 1000,Johnson,32.445575,-97.56806,211111,C,Petroleum and Natural Gas Systems,24203.304,24177.0,12.0,14.304,,,,,,,,,,24203.304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
Waha Gas Plant,1004827,Coyanosa,TX,79730,1146 SOUTH COUNTY ROAD 101,Pecos,31.159975,-103.104845,211111,"C,PP,UU,W-PROC","Injection of CO2,Petroleum and Natural Gas Systems,Suppliers of CO2",190164.34,157317.6,32770.75,75.99,,,,,,,,,,132095.052,,,,,,,,,,,,,,,,,,,58069.288,,,,,,,,,,,,,,,,,,N,N,N
Walker Ridge 718 (jsm),1011425,Offshore,LA,00000,,,26.14594,-91.153999,211111,"C,W-OFFSH",Petroleum and Natural Gas Systems,122109.076,112024.3,9924.75,160.026,,,,,,,,,,95162.63,,,,,,,,,,,,,,,,,,26946.446,,,,,,,,,,,,,,,,,,,N,N,N
